"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 12:25:24 GMT 2023","Thu Feb 02 12:25:25 GMT 2023","358","Dynamic Remotes Synchronous Imports","Check App 2","","","","Check widgets in App 2",""
"skipped","Thu Feb 02 12:25:24 GMT 2023","Thu Feb 02 12:25:24 GMT 2023","0","Dynamic Remotes Synchronous Imports","Check App 1","","","","Check widgets in App 1",""
"skipped","Thu Feb 02 12:25:21 GMT 2023","Thu Feb 02 12:25:21 GMT 2023","4","Automatic vendor sharing","Check App 1","","","","Check App 1 built and running",""
"passed","Thu Feb 02 12:26:08 GMT 2023","Thu Feb 02 12:26:08 GMT 2023","355","Basic Host Remote","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Thu Feb 02 12:25:24 GMT 2023","Thu Feb 02 12:25:24 GMT 2023","468","Dynamic Remotes Synchronous Imports","Check App 2","","","","Check App 2 built and running",""
"passed","Thu Feb 02 12:26:00 GMT 2023","Thu Feb 02 12:26:00 GMT 2023","327","Dynamic remotes","Check App 3","","","","Check functionality in App 3",""
"skipped","Thu Feb 02 12:25:21 GMT 2023","Thu Feb 02 12:25:21 GMT 2023","1","Automatic vendor sharing","Check App 1","","","","Check buttons in App 1 exist",""
"passed","Thu Feb 02 12:25:22 GMT 2023","Thu Feb 02 12:25:22 GMT 2023","323","Automatic vendor sharing","Check App 2","","","","Check button property in App 2",""
"passed","Thu Feb 02 12:24:44 GMT 2023","Thu Feb 02 12:24:45 GMT 2023","811","Dynamic Remotes Runtime Enviroment Variables","Check Host and Remote apps","","","","Check Remote app Widget functionality and application elements",""
"passed","Thu Feb 02 12:26:08 GMT 2023","Thu Feb 02 12:26:08 GMT 2023","479","Basic Host Remote","Check App 2","","","","Check App 2 built and running",""
"skipped","Thu Feb 02 12:25:21 GMT 2023","Thu Feb 02 12:25:21 GMT 2023","2","Automatic vendor sharing","Check App 1","","","","Check button property in App 1",""
"skipped","Thu Feb 02 12:24:44 GMT 2023","Thu Feb 02 12:24:44 GMT 2023","2","Dynamic Remotes Runtime Enviroment Variables","Check Host and Remote apps","","","","Check Host app Widget functionality and application elements",""
"skipped","Thu Feb 02 12:25:58 GMT 2023","Thu Feb 02 12:25:58 GMT 2023","1","Dynamic remotes","Check App 2","","","","Check functionality in App 2",""
"skipped","Thu Feb 02 12:25:58 GMT 2023","Thu Feb 02 12:25:58 GMT 2023","1","Dynamic remotes","Check App 1","","","","Check functionality in App 1",""
"skipped","Thu Feb 02 12:25:58 GMT 2023","Thu Feb 02 12:25:58 GMT 2023","0","Dynamic remotes","Check App 1","","","","Check buttons in App 1 exist",""
"passed","Thu Feb 02 12:25:22 GMT 2023","Thu Feb 02 12:25:22 GMT 2023","388","Automatic vendor sharing","Check App 2","","","","Check buttons in App 2 exist",""
"skipped","Thu Feb 02 12:25:24 GMT 2023","Thu Feb 02 12:25:24 GMT 2023","2","Dynamic Remotes Synchronous Imports","Check App 1","","","","Check App 1 built and running",""
"passed","Thu Feb 02 12:25:21 GMT 2023","Thu Feb 02 12:25:22 GMT 2023","567","Automatic vendor sharing","Check App 2","","","","Check App 2 built and running",""
"skipped","Thu Feb 02 12:25:58 GMT 2023","Thu Feb 02 12:25:58 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Thu Feb 02 12:25:59 GMT 2023","Thu Feb 02 12:26:00 GMT 2023","441","Dynamic remotes","Check App 3","","","","Check buttons in App 3 exist",""
"passed","Thu Feb 02 12:25:58 GMT 2023","Thu Feb 02 12:25:59 GMT 2023","857","Dynamic remotes","Check App 3","","","","Check App 3 built and running",""
"skipped","Thu Feb 02 12:26:08 GMT 2023","Thu Feb 02 12:26:08 GMT 2023","2","Basic Host Remote","Check App 1","","","","Check App 1 built and running",""
"skipped","Thu Feb 02 12:26:08 GMT 2023","Thu Feb 02 12:26:08 GMT 2023","0","Basic Host Remote","Check App 1","","","","Check buttons in App 1 exist",""
"skipped","Thu Feb 02 12:25:58 GMT 2023","Thu Feb 02 12:25:58 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check App 2 built and running",""
"skipped","Thu Feb 02 12:25:58 GMT 2023","Thu Feb 02 12:25:58 GMT 2023","2","Dynamic remotes","Check App 1","","","","Check App 1 built and running",""
