"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Feb 02 12:04:53 GMT 2023","Thu Feb 02 12:04:53 GMT 2023","2","Automatic vendor sharing","Check App 1","","","","Check App 1 built and running",""
"skipped","Thu Feb 02 12:04:53 GMT 2023","Thu Feb 02 12:04:53 GMT 2023","0","Automatic vendor sharing","Check App 1","","","","Check buttons in App 1 exist",""
"passed","Thu Feb 02 12:06:18 GMT 2023","Thu Feb 02 12:06:18 GMT 2023","288","Dynamic remotes","Check App 3","","","","Check functionality in App 3",""
"passed","Thu Feb 02 12:05:16 GMT 2023","Thu Feb 02 12:05:17 GMT 2023","833","Dynamic Remotes Runtime Enviroment Variables","Check Host and Remote apps","","","","Check Remote app Widget functionality and application elements",""
"skipped","Thu Feb 02 12:06:17 GMT 2023","Thu Feb 02 12:06:17 GMT 2023","3","Dynamic remotes","Check App 1","","","","Check App 1 built and running",""
"skipped","Thu Feb 02 12:06:17 GMT 2023","Thu Feb 02 12:06:17 GMT 2023","0","Dynamic remotes","Check App 1","","","","Check buttons in App 1 exist",""
"skipped","Thu Feb 02 12:06:17 GMT 2023","Thu Feb 02 12:06:17 GMT 2023","1","Dynamic remotes","Check App 2","","","","Check functionality in App 2",""
"passed","Thu Feb 02 12:05:35 GMT 2023","Thu Feb 02 12:05:35 GMT 2023","342","Dynamic Remotes Synchronous Imports","Check App 2","","","","Check widgets in App 2",""
"skipped","Thu Feb 02 12:06:17 GMT 2023","Thu Feb 02 12:06:17 GMT 2023","1","Dynamic remotes","Check App 1","","","","Check functionality in App 1",""
"passed","Thu Feb 02 12:06:17 GMT 2023","Thu Feb 02 12:06:17 GMT 2023","780","Dynamic remotes","Check App 3","","","","Check App 3 built and running",""
"passed","Thu Feb 02 12:04:52 GMT 2023","Thu Feb 02 12:04:52 GMT 2023","237","Basic Host Remote","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Thu Feb 02 12:06:17 GMT 2023","Thu Feb 02 12:06:18 GMT 2023","399","Dynamic remotes","Check App 3","","","","Check buttons in App 3 exist",""
"skipped","Thu Feb 02 12:05:16 GMT 2023","Thu Feb 02 12:05:16 GMT 2023","2","Dynamic Remotes Runtime Enviroment Variables","Check Host and Remote apps","","","","Check Host app Widget functionality and application elements",""
"passed","Thu Feb 02 12:04:54 GMT 2023","Thu Feb 02 12:04:54 GMT 2023","337","Automatic vendor sharing","Check App 2","","","","Check buttons in App 2 exist",""
"skipped","Thu Feb 02 12:05:35 GMT 2023","Thu Feb 02 12:05:35 GMT 2023","2","Dynamic Remotes Synchronous Imports","Check App 1","","","","Check App 1 built and running",""
"passed","Thu Feb 02 12:04:51 GMT 2023","Thu Feb 02 12:04:52 GMT 2023","376","Basic Host Remote","Check App 2","","","","Check App 2 built and running",""
"passed","Thu Feb 02 12:05:35 GMT 2023","Thu Feb 02 12:05:35 GMT 2023","380","Dynamic Remotes Synchronous Imports","Check App 2","","","","Check App 2 built and running",""
"skipped","Thu Feb 02 12:05:35 GMT 2023","Thu Feb 02 12:05:35 GMT 2023","0","Dynamic Remotes Synchronous Imports","Check App 1","","","","Check widgets in App 1",""
"skipped","Thu Feb 02 12:04:51 GMT 2023","Thu Feb 02 12:04:51 GMT 2023","2","Basic Host Remote","Check App 1","","","","Check App 1 built and running",""
"skipped","Thu Feb 02 12:04:51 GMT 2023","Thu Feb 02 12:04:51 GMT 2023","0","Basic Host Remote","Check App 1","","","","Check buttons in App 1 exist",""
"skipped","Thu Feb 02 12:06:17 GMT 2023","Thu Feb 02 12:06:17 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check App 2 built and running",""
"passed","Thu Feb 02 12:04:54 GMT 2023","Thu Feb 02 12:04:54 GMT 2023","325","Automatic vendor sharing","Check App 2","","","","Check button property in App 2",""
"skipped","Thu Feb 02 12:06:17 GMT 2023","Thu Feb 02 12:06:17 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Thu Feb 02 12:04:53 GMT 2023","Thu Feb 02 12:04:54 GMT 2023","470","Automatic vendor sharing","Check App 2","","","","Check App 2 built and running",""
"skipped","Thu Feb 02 12:04:53 GMT 2023","Thu Feb 02 12:04:53 GMT 2023","1","Automatic vendor sharing","Check App 1","","","","Check button property in App 1",""
