"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 12:30:53 GMT 2023","Tue Feb 28 12:30:53 GMT 2023","248","Typescript Project Reference","It checks typescript-project-references apps","","","","Check App 2 contains button",""
"passed","Tue Feb 28 12:32:40 GMT 2023","Tue Feb 28 12:32:41 GMT 2023","528","Vite React Simple","It checks elements colors/functionality","","","","Checks react logo is rotating",""
"passed","Tue Feb 28 12:09:38 GMT 2023","Tue Feb 28 12:09:38 GMT 2023","0","Different React Versions Isolated","Check App 1","","","","Check App 1 inject React version 16.14.0 block into a div parent element",""
"passed","Tue Feb 28 12:18:13 GMT 2023","Tue Feb 28 12:18:14 GMT 2023","331","Nested","Check App 3","","","","Check button exists",""
"passed","Tue Feb 28 12:23:29 GMT 2023","Tue Feb 28 12:23:35 GMT 2023","6337","NextJS SSR","Check links on Home page","","","","Check that Shop navigation link works",""
"passed","Tue Feb 28 12:32:36 GMT 2023","Tue Feb 28 12:32:36 GMT 2023","1","Vue 2 in Vue 3","It checks vue2-in-vue3 connection sample","","","","Compares counter on Vue2 App with quantity of clicks",""
"passed","Tue Feb 28 12:25:10 GMT 2023","Tue Feb 28 12:25:11 GMT 2023","267","Self Healing","It checks self-healing apps","","","","Checks App 2 app name visibility",""
"passed","Tue Feb 28 12:32:39 GMT 2023","Tue Feb 28 12:32:39 GMT 2023","338","Vue 2 in Vue 3","It checks vue2-in-vue3 connection sample","","","","Compares counter on Vue3 App with quantity of clicks",""
"passed","Tue Feb 28 12:13:10 GMT 2023","Tue Feb 28 12:13:10 GMT 2023","424","Comprehemsive Demo React 16","Check is Comprehensive Demo App5 working and have elements","","","","Check Application functionality (Alert message & close button exist)",""
"passed","Tue Feb 28 12:18:39 GMT 2023","Tue Feb 28 12:18:39 GMT 2023","1","React HMR","Check host app","","","","Check the content of the Home page exists",""
"passed","Tue Feb 28 12:09:38 GMT 2023","Tue Feb 28 12:09:38 GMT 2023","202","Different React Versions Isolated","Check App 2","","","","Check App 2 have App 2 subheader",""
"passed","Tue Feb 28 12:32:39 GMT 2023","Tue Feb 28 12:32:41 GMT 2023","1805","Vue 2 in Vue 3","It checks vue2-in-vue3 connection sample","","","","Checks that clicks counter is not shared between apps",""
"passed","Tue Feb 28 12:33:04 GMT 2023","Tue Feb 28 12:33:04 GMT 2023","369","Vue 3 Demo Federation with Vite","It checks webpack side app","","","","Clicks on webpack content button and checks that wrong alert greeting is not displayed",""
"passed","Tue Feb 28 12:11:58 GMT 2023","Tue Feb 28 12:11:59 GMT 2023","594","Angular 15 microfrontends lazy components","Check Apps functionality","","","","Check fields validation",""
"passed","Tue Feb 28 12:18:05 GMT 2023","Tue Feb 28 12:18:05 GMT 2023","619","NextJS React","Check remote app","","","","Check button exists",""
"passed","Tue Feb 28 12:10:48 GMT 2023","Tue Feb 28 12:10:49 GMT 2023","483","Dynamic Remotes","Check App 3","","","","Check buttons in App 3 exist",""
"passed","Tue Feb 28 12:24:44 GMT 2023","Tue Feb 28 12:24:45 GMT 2023","161","Startup Code","It checks startup-code apps","","","","Check App 2 contains button",""
"passed","Tue Feb 28 12:24:28 GMT 2023","Tue Feb 28 12:24:33 GMT 2023","5129","NextJS SSR","Check links on Checkout page","","","","Check that Shop text navigation link works",""
"passed","Tue Feb 28 12:22:00 GMT 2023","Tue Feb 28 12:22:00 GMT 2023","0","React Nested Routers","App2 remote","pageA","","","should be rendered when loaded on its relative path",""
"passed","Tue Feb 28 12:20:30 GMT 2023","Tue Feb 28 12:20:30 GMT 2023","378","Different React Versions","Check App2","","","","Check App build and running",""
"passed","Tue Feb 28 12:10:53 GMT 2023","Tue Feb 28 12:10:53 GMT 2023","276","Automatic Vendor Sharing","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Tue Feb 28 12:28:54 GMT 2023","Tue Feb 28 12:28:54 GMT 2023","306","Typescript Monorepo","It checks typescript-monorepo apps","","","","Checks that button in App 2 is not disabled",""
"passed","Tue Feb 28 12:25:10 GMT 2023","Tue Feb 28 12:25:10 GMT 2023","0","Self Healing","It checks self-healing apps","","","","Checks button text visibility for App 1 app",""
"passed","Tue Feb 28 12:33:04 GMT 2023","Tue Feb 28 12:33:05 GMT 2023","308","Vue 3 Demo Federation with Vite","It checks webpack side app","","","","Clicks on webpack content button and checks correct alert greeting",""
"passed","Tue Feb 28 12:10:18 GMT 2023","Tue Feb 28 12:10:18 GMT 2023","0","CSS isolation","Check App 2","","","","Check App 2 built and running",""
"passed","Tue Feb 28 12:11:55 GMT 2023","Tue Feb 28 12:11:55 GMT 2023","0","Comprehencive Demo React 18","Check is Comprehensive Demo App1 working and have elements","","","","Check Routing elements",""
"passed","Tue Feb 28 12:18:10 GMT 2023","Tue Feb 28 12:18:11 GMT 2023","843","Federated npm","Check App 3","","","","Check header block with text visibility",""
"passed","Tue Feb 28 12:22:53 GMT 2023","Tue Feb 28 12:22:53 GMT 2023","3","NextJS SSR","Check content in Home app","","","","Check the header content of Home page",""
"unknown","Tue Feb 28 12:19:14 GMT 2023","Tue Feb 28 12:19:14 GMT 2023","19","React in Vue","Check React in Vue Apps","","","","Check counter value after cliking on button",""
"passed","Tue Feb 28 12:32:06 GMT 2023","Tue Feb 28 12:32:09 GMT 2023","3290","Vite React Microfrontends","It checks host app","","","","Checks that remote component card appears after loading",""
"passed","Tue Feb 28 12:32:10 GMT 2023","Tue Feb 28 12:32:11 GMT 2023","1000","Vite React Microfrontends","It checks host app","","","","Checks both cards button is not disabled",""
"passed","Tue Feb 28 12:10:09 GMT 2023","Tue Feb 28 12:10:09 GMT 2023","347","Dynamic Remotes SYnchronous imports","Check App 2","","","","Check widgets in App 2",""
