"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 03 09:05:04 GMT 2023","Fri Feb 03 09:05:04 GMT 2023","2","Dynamic remotes","Check App 1","","","","Check App 1 built and running",""
"skipped","Fri Feb 03 09:05:31 GMT 2023","Fri Feb 03 09:05:31 GMT 2023","2","Automatic vendor sharing","Check App 1","","","","Check App 1 built and running",""
"passed","Fri Feb 03 09:05:06 GMT 2023","Fri Feb 03 09:05:06 GMT 2023","243","Dynamic remotes","Check App 3","","","","Check functionality in App 3",""
"skipped","Fri Feb 03 09:05:31 GMT 2023","Fri Feb 03 09:05:31 GMT 2023","1","Automatic vendor sharing","Check App 1","","","","Check button property in App 1",""
"passed","Fri Feb 03 09:05:32 GMT 2023","Fri Feb 03 09:05:33 GMT 2023","311","Automatic vendor sharing","Check App 2","","","","Check button property in App 2",""
"skipped","Fri Feb 03 09:05:04 GMT 2023","Fri Feb 03 09:05:04 GMT 2023","0","Dynamic remotes","Check App 1","","","","Check functionality in App 1",""
"passed","Fri Feb 03 09:05:04 GMT 2023","Fri Feb 03 09:05:05 GMT 2023","764","Dynamic remotes","Check App 3","","","","Check App 3 built and running",""
"skipped","Fri Feb 03 09:05:04 GMT 2023","Fri Feb 03 09:05:04 GMT 2023","0","Dynamic remotes","Check App 1","","","","Check buttons in App 1 exist",""
"passed","Fri Feb 03 09:05:32 GMT 2023","Fri Feb 03 09:05:32 GMT 2023","379","Automatic vendor sharing","Check App 2","","","","Check buttons in App 2 exist",""
"skipped","Fri Feb 03 09:05:04 GMT 2023","Fri Feb 03 09:05:04 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check functionality in App 2",""
"skipped","Fri Feb 03 09:05:31 GMT 2023","Fri Feb 03 09:05:31 GMT 2023","0","Automatic vendor sharing","Check App 1","","","","Check buttons in App 1 exist",""
"skipped","Fri Feb 03 09:05:04 GMT 2023","Fri Feb 03 09:05:04 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check App 2 built and running",""
"skipped","Fri Feb 03 09:05:04 GMT 2023","Fri Feb 03 09:05:04 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Fri Feb 03 09:05:31 GMT 2023","Fri Feb 03 09:05:32 GMT 2023","561","Automatic vendor sharing","Check App 2","","","","Check App 2 built and running",""
"passed","Fri Feb 03 09:05:05 GMT 2023","Fri Feb 03 09:05:06 GMT 2023","374","Dynamic remotes","Check App 3","","","","Check buttons in App 3 exist",""
