"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 03 09:53:08 GMT 2023","Fri Feb 03 09:53:08 GMT 2023","0","Automatic vendor sharing","Check App 1","","","","Check button property in App 1",""
"skipped","Fri Feb 03 09:53:59 GMT 2023","Fri Feb 03 09:53:59 GMT 2023","3","Dynamic remotes","Check App 1","","","","Check App 1 built and running",""
"skipped","Fri Feb 03 09:53:59 GMT 2023","Fri Feb 03 09:53:59 GMT 2023","0","Dynamic remotes","Check App 1","","","","Check functionality in App 1",""
"skipped","Fri Feb 03 09:53:08 GMT 2023","Fri Feb 03 09:53:08 GMT 2023","1","Automatic vendor sharing","Check App 1","","","","Check buttons in App 1 exist",""
"passed","Fri Feb 03 09:53:08 GMT 2023","Fri Feb 03 09:53:09 GMT 2023","615","Automatic vendor sharing","Check App 2","","","","Check App 2 built and running",""
"skipped","Fri Feb 03 09:53:59 GMT 2023","Fri Feb 03 09:53:59 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check App 2 built and running",""
"skipped","Fri Feb 03 09:53:59 GMT 2023","Fri Feb 03 09:53:59 GMT 2023","0","Dynamic remotes","Check App 1","","","","Check buttons in App 1 exist",""
"skipped","Fri Feb 03 09:53:08 GMT 2023","Fri Feb 03 09:53:08 GMT 2023","4","Automatic vendor sharing","Check App 1","","","","Check App 1 built and running",""
"passed","Fri Feb 03 09:53:59 GMT 2023","Fri Feb 03 09:54:00 GMT 2023","927","Dynamic remotes","Check App 3","","","","Check App 3 built and running",""
"skipped","Fri Feb 03 09:53:59 GMT 2023","Fri Feb 03 09:53:59 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Fri Feb 03 09:54:00 GMT 2023","Fri Feb 03 09:54:01 GMT 2023","356","Dynamic remotes","Check App 3","","","","Check functionality in App 3",""
"passed","Fri Feb 03 09:53:09 GMT 2023","Fri Feb 03 09:53:09 GMT 2023","479","Automatic vendor sharing","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Fri Feb 03 09:54:00 GMT 2023","Fri Feb 03 09:54:00 GMT 2023","630","Dynamic remotes","Check App 3","","","","Check buttons in App 3 exist",""
"skipped","Fri Feb 03 09:53:59 GMT 2023","Fri Feb 03 09:53:59 GMT 2023","1","Dynamic remotes","Check App 2","","","","Check functionality in App 2",""
"passed","Fri Feb 03 09:53:09 GMT 2023","Fri Feb 03 09:53:10 GMT 2023","429","Automatic vendor sharing","Check App 2","","","","Check button property in App 2",""
