"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 12:35:49 GMT 2023","Thu Feb 02 12:35:50 GMT 2023","400","Dynamic Remotes Synchronous Imports","Check App 2","","","","Check widgets in App 2",""
"passed","Thu Feb 02 12:34:12 GMT 2023","Thu Feb 02 12:34:12 GMT 2023","260","Basic Host Remote","Check App 2","","","","Check buttons in App 2 exist",""
"skipped","Thu Feb 02 12:35:08 GMT 2023","Thu Feb 02 12:35:08 GMT 2023","2","Dynamic remotes","Check App 1","","","","Check App 1 built and running",""
"passed","Thu Feb 02 12:34:53 GMT 2023","Thu Feb 02 12:34:53 GMT 2023","478","Automatic vendor sharing","Check App 2","","","","Check App 2 built and running",""
"skipped","Thu Feb 02 12:34:33 GMT 2023","Thu Feb 02 12:34:33 GMT 2023","1","Dynamic Remotes Runtime Enviroment Variables","Check Host and Remote apps","","","","Check Host app Widget functionality and application elements",""
"passed","Thu Feb 02 12:34:33 GMT 2023","Thu Feb 02 12:34:34 GMT 2023","823","Dynamic Remotes Runtime Enviroment Variables","Check Host and Remote apps","","","","Check Remote app Widget functionality and application elements",""
"skipped","Thu Feb 02 12:35:08 GMT 2023","Thu Feb 02 12:35:08 GMT 2023","1","Dynamic remotes","Check App 1","","","","Check buttons in App 1 exist",""
"skipped","Thu Feb 02 12:35:08 GMT 2023","Thu Feb 02 12:35:08 GMT 2023","1","Dynamic remotes","Check App 2","","","","Check App 2 built and running",""
"passed","Thu Feb 02 12:34:12 GMT 2023","Thu Feb 02 12:34:12 GMT 2023","375","Basic Host Remote","Check App 2","","","","Check App 2 built and running",""
"skipped","Thu Feb 02 12:34:53 GMT 2023","Thu Feb 02 12:34:53 GMT 2023","2","Automatic vendor sharing","Check App 1","","","","Check App 1 built and running",""
"passed","Thu Feb 02 12:35:08 GMT 2023","Thu Feb 02 12:35:09 GMT 2023","395","Dynamic remotes","Check App 3","","","","Check buttons in App 3 exist",""
"passed","Thu Feb 02 12:34:53 GMT 2023","Thu Feb 02 12:34:54 GMT 2023","327","Automatic vendor sharing","Check App 2","","","","Check button property in App 2",""
"skipped","Thu Feb 02 12:35:49 GMT 2023","Thu Feb 02 12:35:49 GMT 2023","2","Dynamic Remotes Synchronous Imports","Check App 1","","","","Check App 1 built and running",""
"passed","Thu Feb 02 12:34:53 GMT 2023","Thu Feb 02 12:34:53 GMT 2023","409","Automatic vendor sharing","Check App 2","","","","Check buttons in App 2 exist",""
"passed","Thu Feb 02 12:35:08 GMT 2023","Thu Feb 02 12:35:08 GMT 2023","759","Dynamic remotes","Check App 3","","","","Check App 3 built and running",""
"skipped","Thu Feb 02 12:35:49 GMT 2023","Thu Feb 02 12:35:49 GMT 2023","0","Dynamic Remotes Synchronous Imports","Check App 1","","","","Check widgets in App 1",""
"passed","Thu Feb 02 12:35:49 GMT 2023","Thu Feb 02 12:35:49 GMT 2023","488","Dynamic Remotes Synchronous Imports","Check App 2","","","","Check App 2 built and running",""
"skipped","Thu Feb 02 12:35:08 GMT 2023","Thu Feb 02 12:35:08 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check functionality in App 2",""
"skipped","Thu Feb 02 12:34:53 GMT 2023","Thu Feb 02 12:34:53 GMT 2023","0","Automatic vendor sharing","Check App 1","","","","Check buttons in App 1 exist",""
"skipped","Thu Feb 02 12:34:12 GMT 2023","Thu Feb 02 12:34:12 GMT 2023","1","Basic Host Remote","Check App 1","","","","Check buttons in App 1 exist",""
"passed","Thu Feb 02 12:35:09 GMT 2023","Thu Feb 02 12:35:09 GMT 2023","293","Dynamic remotes","Check App 3","","","","Check functionality in App 3",""
"skipped","Thu Feb 02 12:35:08 GMT 2023","Thu Feb 02 12:35:08 GMT 2023","0","Dynamic remotes","Check App 2","","","","Check buttons in App 2 exist",""
"skipped","Thu Feb 02 12:34:53 GMT 2023","Thu Feb 02 12:34:53 GMT 2023","0","Automatic vendor sharing","Check App 1","","","","Check button property in App 1",""
"skipped","Thu Feb 02 12:35:08 GMT 2023","Thu Feb 02 12:35:08 GMT 2023","0","Dynamic remotes","Check App 1","","","","Check functionality in App 1",""
"skipped","Thu Feb 02 12:34:12 GMT 2023","Thu Feb 02 12:34:12 GMT 2023","1","Basic Host Remote","Check App 1","","","","Check App 1 built and running",""
